vault_id,id,title,description,filename,type,src_url,date
37,6941252,"Petting Lycanroc","A lot of people don't know this, but I was a HUGE Pokemon fan back when it first started coming to the west. To the point where an 11-year-old me once left a note to my future self, to hopefully one day remind him of the passion he once held for the show, once it had stopped running (haha).<br><br><br><p>Little did I know, new episodes and games would still be coming out two decades later. And truth be told I haven't been keeping up with the show. (sorry, younger me) I pretty much left it behind around Gen II. That being said, I am starting to become interested in seeing what I've been missing out on recently, and the new upcoming release has me intrigued. I plan to dive back in and hopefully rekindle some of those old feelings I once had for my very first fandom obsession.</p><p>So, without further ado... here's an inappropriately affectionate Lycanroc. :P<br></p>",lycanroc_petting.png,image_file,https://www.patreon.com/posts/petting-lycanroc-6941252,2016-10-06T18:18:44.000+00:00
38,6948357,"Etrian Hotspring","A party from Etrian Odyssey relax after a long day of dungeon crawling.<br>",etrianhotspring.png,image_file,https://www.patreon.com/posts/etrian-hotspring-6948357,2016-10-07T16:30:57.000+00:00
39,7006229,Pawwear,"Raine's having some ""wear""wolf problems.",raineshoes.png,image_file,https://www.patreon.com/posts/pawwear-7006229,2016-10-15T05:22:03.000+00:00
40,7008788,"Laura - Angel & Devil",<br>,lauraangeldevil.png,image_file,https://www.patreon.com/posts/laura-angel-7008788,2016-10-15T16:33:28.000+00:00
41,7121016,"Announcing Sunday Sketch Requests!","Starting November, I'll be taking <strong>weekly suggestions </strong>for sketches! Anyone pledging $10 or more are welcome to add your ideas each week. Please note, I likely will not get to them all. I'll generally be looking for funny or creative suggestions, or just whatever sounds the most fun! Requests for pin-up style sketches or a little sauciness is of course perfectly fine as well. ;)  (No OCs, though. Sorry!)<p>The resulting sketches will be publicly available for <strong>everyone</strong>, patron or not, so everyone can enjoy them. Keep that in mind!</p><p>Starting next Sunday, and each subsequent Sunday, I will also begin doing <strong>Sunday Sketch Streams </strong>where I will be drawing the sketches you suggest here!</p><p>At the beginning of every month (starting December) I will hold a <strong>vote</strong>. All the sketches made in the previous month will be put up and the top picks will be made into finished full-color art, which will of course be publicly available as well.</p><p>I hope this sounds like fun for you guys! I wanted to give back to all of you who have been so generous. Up until now, you've pledged with no expectation of getting anything in return. I figured with this, those who contribute can now be rewarded. Those who can only contribute a little will still get to join in on the streams. And those that cannot contribute at all still get new sketches out of the deal! A win-win-win for everyone, I think. :)</p><p>Let me know what <em>you </em>think! Oh, and for this week, just to get started, anyone can feel free to make suggestions below for next week's stream, if you have any ideas!<br></p>",floratablet_banner.png,image_file,https://www.patreon.com/posts/announcing-7121016,2016-10-30T18:08:11.000+00:00
42,7188775,"Rem Kat","Sketch suggested by Bumpersam!<br>",remkat.png,image_file,https://www.patreon.com/posts/rem-kat-7188775,2016-11-07T17:22:06.000+00:00
43,7198719,"Mike's Fitting","Sketch suggested by ZBL!<br><br>",mikesfitting.png,image_file,https://www.patreon.com/posts/mikes-fitting-7198719,2016-11-08T23:10:42.000+00:00
44,7204336,"Youngtani's Topiary","Sketch suggested by CrRAR!",youngtani.png,image_file,https://www.patreon.com/posts/youngtanis-7204336,2016-11-09T17:20:29.000+00:00
45,7215299,"Woof Keith","Sketch suggested by Siergiej!<br>",keithwoof.png,image_file,https://www.patreon.com/posts/woof-keith-7215299,2016-11-11T02:09:59.000+00:00
46,7221100,"Keith and Natani Swap","Sketch Suggested by Tamer!",NataniKeithSwap.png,image_file,https://www.patreon.com/posts/keith-and-natani-7221100,2016-11-11T21:15:10.000+00:00
